random_id,rt,phase,accuracy,miss_rate,incorrect_answers,false_alarms,missed_answers,baseline-age,baseline-race,baseline-listen-frequency,baseline-listening-device,baseline-music-type,baseline-study-hours,baseline-study-location,baseline-study-motivation,reflect-study-mood,reflect-study-motivation,motivation_ranking,reflect-listening-device,reflect-device,reflect-music-familiarity,reflect-music-opinion,reflect-music-likes,reflect-difficulties,reflect-feedback,baseline-music-type-Comment,baseline-study-location-Comment,baseline-race-Comment
pztcfa1tggb,46719.0,,,,,,,18.0,['White'],Sometimes,Earbuds,"['Classical', 'Jazz', 'Nature Sounds / White Noise']",6-7,"['Home', 'Library']",3.0,,,,,,,,,,,,,
pztcfa1tggb,63030.0,,,,,,,,,,,,,,,9.0,5.0,"['Chill Instrumental', 'Lyrical Music', 'Silence', 'Upbeat Instrumental']",Earbuds,Laptop,Neither,I liked it and would use it for studying,The chill one better,,,,,
pv0sfrxu15r,50317.0,,,,,,,18.0,['Asian'],Always,Earbuds,"['Pop', 'R&B / Soul', 'Hip-Hop / Rap', 'K-Pop / J-Pop', 'other', 'Lo-fi / Chillhop', 'Classical']",8-9,"['Home', 'Library']",6.0,,,,,,,,,,,Indian,,
pv0sfrxu15r,43828.0,,,,,,,,,,,,,,,7.0,5.0,"['Silence', 'Upbeat Instrumental', 'Chill Instrumental', 'Lyrical Music']",Earbuds,Laptop,One of them,"I liked it, but I wouldn't use it for studying",,N/A,N/A,,,
pjb0cxwd8yd,95111.0,,,,,,,21.0,['Asian'],Often,Earbuds,"['K-Pop / J-Pop', 'Pop', 'R&B / Soul', 'Lo-fi / Chillhop']",10+,"['Home', 'Coffee shop', 'other']",6.0,,,,,,,,,,,,Apartment study room,
pjb0cxwd8yd,102300.0,,,,,,,,,,,,,,,7.0,6.0,"['Chill Instrumental', 'Upbeat Instrumental', 'Silence', 'Lyrical Music']",Speakers/Out loud,Phone,Neither,"I liked it, but I wouldn't use it for studying",The chill music,,,,,
pddu8w00oyk,38022.0,,,,,,,24.0,['Asian'],Often,Earbuds,"['Jazz', 'Lo-fi / Chillhop', 'Pop', 'Hip-Hop / Rap', 'Reggae', 'K-Pop / J-Pop', 'Podcasts / Spoken Word']",10+,"['Home', 'Library']",8.0,,,,,,,,,,,,,
pddu8w00oyk,71690.0,,,,,,,,,,,,,,,10.0,9.0,"['Lyrical Music', 'Upbeat Instrumental', 'Chill Instrumental', 'Silence']",Earbuds,Laptop,Both of them,I liked it and would use it for studying,I like all of them,No,The study is fun :),,,
pbgh9pvsyuy,60785.0,,,,,,,22.0,['White'],Never,I don't listen to music when studying,['none'],6-7,"['Coffee shop', 'Library', 'Home']",5.0,,,,,,,,,,,,,
pbgh9pvsyuy,70602.0,,,,,,,,,,,,,,,7.0,7.0,"['Lyrical Music', 'Silence', 'Chill Instrumental', 'Upbeat Instrumental']",Speakers/Out loud,Phone,One of them,"I liked it, but I wouldn't use it for studying",,,,,,
pls7hssk9n5,58473.0,,,,,,,21.0,['White'],Never,I don't listen to music when studying,['Podcasts / Spoken Word'],0-1,['Home'],2.0,,,,,,,,,,,,,
pls7hssk9n5,109419.0,,,,,,,,,,,,,,,3.0,1.0,"['Chill Instrumental', 'Upbeat Instrumental', 'Silence', 'Lyrical Music']",Speakers/Out loud,Phone,One of them,"I liked it, but I wouldn't use it for studying",i no like,No,No,,,
pcjkmkfwl4d,44996.0,,,,,,,20.0,['Middle Eastern or North African'],Often,Earbuds,"['Jazz', 'Lo-fi / Chillhop', 'R&B / Soul', 'Hip-Hop / Rap', 'Ambient / New Age']",8-9,"['Home', 'Library', 'Coffee shop']",6.0,,,,,,,,,,,,,
pcjkmkfwl4d,87460.0,,,,,,,,,,,,,,,9.0,8.0,"['Chill Instrumental', 'Upbeat Instrumental', 'Silence', 'Lyrical Music']",Earbuds,Desktop Computer,One of them,I liked it and would use it for studying,"The chill instrumental and upbeat house tracks were good, lyrical one was tough to pay attention ",,,,,
pg89slmjbse,237614.0,,,,,,,24.0,['White'],Sometimes,Over-ear headphones,"['Lo-fi / Chillhop', 'Classical', 'Nature Sounds / White Noise']",10+,['Home'],6.0,,,,,,,,,,,,,
pg89slmjbse,120402.0,,,,,,,,,,,,,,,10.0,9.0,"['Upbeat Instrumental', 'Silence', 'Chill Instrumental', 'Lyrical Music']",Speakers/Out loud,Laptop,One of them,"I liked it, but I wouldn't use it for studying",Both tracks hard af no cap. Not studying type ya feel.,no,,,,
ps8ryezd7ou,183943.0,,,,,,,22.0,"['Hispanic, Latino, or Spanish Origin', 'White']",Often,Over-ear headphones,"['Lo-fi / Chillhop', 'Podcasts / Spoken Word', 'other', 'Classical']",0-1,"['Home', 'other']",3.0,,,,,,,,,,,most any genre that is instrumental (POLYPHIA),on campus quiet areas/desks,
ps8ryezd7ou,63984.0,,,,,,,,,,,,,,,6.0,6.0,"['Chill Instrumental', 'Silence', 'Upbeat Instrumental', 'Lyrical Music']",Over-ear headphones,Laptop,One of them,"I liked it, but I wouldn't use it for studying",,n/a,n/a,,,
p3she5m9vrb,50570.0,,,,,,,23.0,"['Hispanic, Latino, or Spanish Origin', 'White']",Often,Over-ear headphones,"['Classical', 'Electronic / EDM', 'Hip-Hop / Rap', 'Rock', 'other']",8-9,"['Coffee shop', 'Library', 'Home']",8.0,,,,,,,,,,,Metal,,
p3she5m9vrb,116037.0,,,,,,,,,,,,,,,7.0,7.0,"['Upbeat Instrumental', 'Lyrical Music', 'Chill Instrumental', 'Silence']",Over-ear headphones,Phone,One of them,"I liked it, but I wouldn't use it for studying",the upbeat instrumental music was good,my first attempt was cut short after trial one because i fat fingered the home button,i <3 jack,,,
p5bhrpqwzpz,62177.0,,,,,,,20.0,['Asian'],Often,Earbuds,['Nature Sounds / White Noise'],8-9,"['Library', 'Home', 'Coffee shop']",8.0,,,,,,,,,,,,,
p5bhrpqwzpz,63551.0,,,,,,,,,,,,,,,9.0,8.0,"['Chill Instrumental', 'Upbeat Instrumental', 'Lyrical Music', 'Silence']",Earbuds,Laptop,Neither,"I liked it, but I wouldn't use it for studying",Both,No,No,,,
p2jjxlzfqaj,50816.0,,,,,,,25.0,['White'],Sometimes,Speakers/Out loud,"['Classical', 'Lo-fi / Chillhop', 'Hip-Hop / Rap', 'Podcasts / Spoken Word', 'other']",10+,"['Coffee shop', 'Home']",7.0,,,,,,,,,,,Punk,,
p2jjxlzfqaj,77610.0,,,,,,,,,,,,,,,10.0,5.0,"['Silence', 'Chill Instrumental', 'Lyrical Music', 'Upbeat Instrumental']",Speakers/Out loud,Laptop,Both of them,"I liked it, but I wouldn't use it for studying","Blondie would go into the rotation, don't think that House beat could make me do anything except bop. ",No,No,,,
ps70rke1e0r,51917.0,,,,,,,21.0,['White'],Sometimes,Earbuds,"['Lo-fi / Chillhop', 'other']",4-5,"['Home', 'Coffee shop']",5.0,,,,,,,,,,,Christian Worship Music,,
ps70rke1e0r,34509.0,,,,,,,,,,,,,,,8.0,10.0,,Speakers/Out loud,,Neither,I liked it and would use it for studying,I liked the second one (instrumental) and the silence the best. ,,,,,
pzebk8mndxy,73655.0,,,,,,,21.0,['Middle Eastern or North African'],Often,Earbuds,"['Classical', 'Lo-fi / Chillhop', 'Jazz', 'Pop', 'Rock', 'R&B / Soul', 'Hip-Hop / Rap']",10+,['Home'],9.0,,,,,,,,,,,,,
pzebk8mndxy,64127.0,,,,,,,,,,,,,,,6.0,2.0,"['Lyrical Music', 'Chill Instrumental', 'Upbeat Instrumental', 'Silence']",Earbuds,Laptop,One of them,"I liked it, but I wouldn't use it for studying",I only liked the first one ,,,,,
pr5qb52kpv1,70325.0,,,,,,,18.0,"['Hispanic, Latino, or Spanish Origin']",Sometimes,Earbuds,"['Latin / Reggaeton', 'Hip-Hop / Rap', 'Pop']",4-5,"['Library', 'Home']",6.0,,,,,,,,,,,,,
pr5qb52kpv1,123561.0,,,,,,,,,,,,,,,5.0,4.0,"['Chill Instrumental', 'Silence', 'Lyrical Music', 'Upbeat Instrumental']",Earbuds,Phone,One of them,I liked it and would use it for studying,I liked both tracks the first one that played and the second one.,N/A,N/A,,,
ptn21ywmnxy,44309.0,,,,,,,20.0,['White'],Sometimes,Over-ear headphones,"['Classical', 'Jazz', 'Rock']",4-5,"['Coffee shop', 'Home', 'Library']",5.0,,,,,,,,,,,,,
ptn21ywmnxy,79525.0,,,,,,,,,,,,,,,5.0,5.0,"['Silence', 'Lyrical Music', 'Upbeat Instrumental', 'Chill Instrumental']",Speakers/Out loud,Laptop,One of them,"I liked it, but I wouldn't use it for studying","I'm sorry I don't remember. The lyrical music was nice, but all of them were nice. ",no,no,,,
p213h3m86k1,41857.0,,,,,,,20.0,['White'],Sometimes,Earbuds,['Rock'],2-3,['Library'],7.0,,,,,,,,,,,,,
p213h3m86k1,100860.0,,,,,,,,,,,,,,,7.0,7.0,"['Silence', 'Chill Instrumental', 'Upbeat Instrumental', 'Lyrical Music']",Earbuds,Laptop,One of them,"I liked it, but I wouldn't use it for studying",Did not like the upbeat instrumental music,N/A,N/A - hopefully the order of all four is random to prevent bias,,,
px8xhr37kqe,55472.0,,,,,,,21.0,['White'],Often,Earbuds,"['Nature Sounds / White Noise', 'other']",6-7,"['Home', 'Coffee shop', 'Library']",7.0,,,,,,,,,,,Indie,,
px8xhr37kqe,31011.0,,,,,,,,,,,,,,,6.0,7.0,,Speakers/Out loud,,One of them,"I liked it, but I wouldn't use it for studying",The second,,,,,
pt6140msbgv,62665.0,,,,,,,22.0,"['Hispanic, Latino, or Spanish Origin']",Always,Earbuds,"['Reggae', 'Hip-Hop / Rap', 'R&B / Soul', 'Rock', 'Pop', 'Classical', 'Jazz', 'Latin / Reggaeton']",8-9,"['Home', 'Library']",6.0,,,,,,,,,,,,,
pt6140msbgv,65738.0,,,,,,,,,,,,,,,7.0,5.0,,Earbuds,,Neither,I liked it and would use it for studying,Me like both,I did not know music was playing until I turned the volume up. A notification or message before hand would have been helpful to know,,,,
pqdwu2hv9v8,40195.0,,,,,,,24.0,['White'],Often,Earbuds,"['Classical', 'Nature Sounds / White Noise', 'other']",6-7,"['Home', 'Library']",4.0,,,,,,,,,,,movie soundtracks,,
pqdwu2hv9v8,71699.0,,,,,,,,,,,,,,,8.0,7.0,"['Chill Instrumental', 'Silence', 'Upbeat Instrumental', 'Lyrical Music']",Over-ear headphones,Laptop,One of them,"I liked it, but I wouldn't use it for studying",I liked the lyrical track because I knew it so it was familiar to me. ,no,no,,,
prp5mlab79w,60237.0,,,,,,,21.0,"['Hispanic, Latino, or Spanish Origin']",Never,I don't listen to music when studying,['none'],2-3,['Home'],4.0,,,,,,,,,,,,,
prp5mlab79w,97969.0,,,,,,,,,,,,,,,10.0,9.0,"['Lyrical Music', 'Upbeat Instrumental', 'Silence', 'Chill Instrumental']",Speakers/Out loud,Phone,One of them,"I liked it, but I wouldn't use it for studying",I liked the upbeat music and lyrical music ,,,,,
pj1fp4vnhgo,137867.0,,,,,,,22.0,['Asian'],Sometimes,Speakers/Out loud,"['K-Pop / J-Pop', 'Lo-fi / Chillhop', 'Pop', 'R&B / Soul', 'other']",4-5,"['Home', 'other']",4.0,,,,,,,,,,,indie/ indie pop,"on trolley, other places on campus",
