random_id,rt,phase,correct,response,accuracy,miss_rate,incorrect_answers,false_alarms,missed_answers
pztcfa1tggb,47180.0,,,0,,,,,
pztcfa1tggb,46719.0,,,"{""baseline-age"":18,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Jazz"",""Nature Sounds / White Noise""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":3}",,,,,
pztcfa1tggb,9242.0,,,0,,,,,
pztcfa1tggb,2466.0,math_distractor_upbeat_instrumental,True,1,,,,,
pztcfa1tggb,1624.0,math_distractor_upbeat_instrumental,True,0,,,,,
pztcfa1tggb,1388.0,math_distractor_upbeat_instrumental,True,1,,,,,
pztcfa1tggb,2410.0,math_distractor_upbeat_instrumental,True,1,,,,,
pztcfa1tggb,1672.0,math_distractor_upbeat_instrumental,True,0,,,,,
pztcfa1tggb,4070.0,ooo_distractor_upbeat_instrumental,False,0,,,,,
pztcfa1tggb,2817.0,ooo_distractor_upbeat_instrumental,True,1,,,,,
pztcfa1tggb,9043.0,ooo_distractor_upbeat_instrumental,False,0,,,,,
pztcfa1tggb,3831.0,ooo_distractor_upbeat_instrumental,True,1,,,,,
pztcfa1tggb,2715.0,ooo_distractor_upbeat_instrumental,True,0,,,,,
pztcfa1tggb,11461.0,recall_upbeat_instrumental,,"{""selected_answers"":[""whistle"",""basket"",""planet"",""canvas"",""notebook"",""saddle"",""tower""]}",0.7,0.3,[],0.0,"[""avenue"",""riverbank"",""glacier""]"
pztcfa1tggb,3557.0,,,0,,,,,
pztcfa1tggb,3128.0,math_distractor_silence,True,3,,,,,
pztcfa1tggb,1558.0,math_distractor_silence,True,3,,,,,
pztcfa1tggb,2098.0,math_distractor_silence,True,2,,,,,
pztcfa1tggb,1821.0,math_distractor_silence,False,2,,,,,
pztcfa1tggb,1319.0,math_distractor_silence,True,3,,,,,
pztcfa1tggb,1692.0,ooo_distractor_silence,False,2,,,,,
pztcfa1tggb,1437.0,ooo_distractor_silence,True,3,,,,,
pztcfa1tggb,1214.0,ooo_distractor_silence,True,3,,,,,
pztcfa1tggb,3261.0,ooo_distractor_silence,True,2,,,,,
pztcfa1tggb,1889.0,ooo_distractor_silence,True,2,,,,,
pztcfa1tggb,10260.0,recall_silence,,"{""selected_answers"":[""apple"",""bridge"",""table"",""pathway"",""house"",""sun"",""pencil"",""chair"",""flower"",""stone""]}",1.0,0.0,[],0.0,[]
pztcfa1tggb,1234.0,,,0,,,,,
pztcfa1tggb,1815.0,math_distractor_instrumental,True,2,,,,,
pztcfa1tggb,1157.0,math_distractor_instrumental,True,3,,,,,
pztcfa1tggb,1297.0,math_distractor_instrumental,True,3,,,,,
pztcfa1tggb,3733.0,math_distractor_instrumental,True,1,,,,,
pztcfa1tggb,5082.0,math_distractor_instrumental,True,2,,,,,
