"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","3226","fullscreen","0","null","4241","pqdwu2hv9v8","","","","","","","","","","","","","","","","","","",""
"","2797","external-html","1","2.1.0","7206","pqdwu2hv9v8","consent.html","","","","","","","","","","","","","","","","","",""
"","5263","html-button-response","2","2.1.0","12472","pqdwu2hv9v8","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","40195","survey","3","2.1.0","52758","pqdwu2hv9v8","","","{""baseline-age"":24,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""movie soundtracks"",""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":4}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","55764","pqdwu2hv9v8","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","7892","html-button-response","5","2.1.0","63666","pqdwu2hv9v8","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","73675","pqdwu2hv9v8","","<p>Starting trial with silence.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","74178","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","75183","pqdwu2hv9v8","","<p style=""font-size: 32px;"">phone</p>","null","silence","word","phone","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","75690","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","76701","pqdwu2hv9v8","","<p style=""font-size: 32px;"">candle</p>","null","silence","word","candle","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","77209","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","78215","pqdwu2hv9v8","","<p style=""font-size: 32px;"">ocean</p>","null","silence","word","ocean","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","78719","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","79721","pqdwu2hv9v8","","<p style=""font-size: 32px;"">piano</p>","null","silence","word","piano","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","80227","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","81232","pqdwu2hv9v8","","<p style=""font-size: 32px;"">mouse</p>","null","silence","word","mouse","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","81735","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","82736","pqdwu2hv9v8","","<p style=""font-size: 32px;"">book</p>","null","silence","word","book","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","83241","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","84245","pqdwu2hv9v8","","<p style=""font-size: 32px;"">lamp</p>","null","silence","word","lamp","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","84748","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","85749","pqdwu2hv9v8","","<p style=""font-size: 32px;"">valley</p>","null","silence","word","valley","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","86251","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","87258","pqdwu2hv9v8","","<p style=""font-size: 32px;"">mountain</p>","null","silence","word","mountain","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","87759","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","88760","pqdwu2hv9v8","","<p style=""font-size: 32px;"">car</p>","null","silence","word","car","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","89265","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","90270","pqdwu2hv9v8","","<p style=""font-size: 32px;"">mirror</p>","null","silence","word","mirror","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","90772","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","91773","pqdwu2hv9v8","","<p style=""font-size: 32px;"">radio</p>","null","silence","word","radio","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","92279","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","32","2.0.0","93283","pqdwu2hv9v8","","<p style=""font-size: 32px;"">harbor</p>","null","silence","word","harbor","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","93786","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","34","2.0.0","94789","pqdwu2hv9v8","","<p style=""font-size: 32px;"">road</p>","null","silence","word","road","","","","","","","","","","","","",""
"","null","html-keyboard-response","35","2.0.0","95294","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","96296","pqdwu2hv9v8","","<p style=""font-size: 32px;"">journal</p>","null","silence","word","journal","","","","","","","","","","","","",""
"","1875","html-button-response","37","2.1.0","98173","pqdwu2hv9v8","","<p style=""font-size: 36px;"">27 - 13 = ?</p>","2","math_distractor_silence","","","2","27 - 13 = ?","true","","","","","","","","","",""
"","3881","html-button-response","38","2.1.0","102054","pqdwu2hv9v8","","<p style=""font-size: 36px;"">14 + 9 = ?</p>","1","math_distractor_silence","","","1","14 + 9 = ?","true","","","","","","","","","",""
"","1466","html-button-response","39","2.1.0","103522","pqdwu2hv9v8","","<p style=""font-size: 36px;"">12 + 7 = ?</p>","3","math_distractor_silence","","","3","12 + 7 = ?","true","","","","","","","","","",""
"","1277","html-button-response","40","2.1.0","104802","pqdwu2hv9v8","","<p style=""font-size: 36px;"">9 × 5 = ?</p>","2","math_distractor_silence","","","2","9 × 5 = ?","true","","","","","","","","","",""
"","1192","html-button-response","41","2.1.0","105997","pqdwu2hv9v8","","<p style=""font-size: 36px;"">45 ÷ 5 = ?</p>","2","math_distractor_silence","","","2","45 ÷ 5 = ?","true","","","","","","","","","",""
"","2472","html-button-response","42","2.1.0","108470","pqdwu2hv9v8","","<p>Which image is the odd one out?</p>","3","ooo_distractor_silence","","","","","true","[""police"",""truck"",""taxi"",""bike""]","bike","","","","","","","",""
"","2638","html-button-response","43","2.1.0","111109","pqdwu2hv9v8","","<p>Which image is the odd one out?</p>","1","ooo_distractor_silence","","","","","true","[""guitar"",""flashlight"",""violin"",""flute""]","flashlight","","","","","","","",""
"","1948","html-button-response","44","2.1.0","113059","pqdwu2hv9v8","","<p>Which image is the odd one out?</p>","1","ooo_distractor_silence","","","","","true","[""cold"",""fire"",""ice"",""snowman""]","fire","","","","","","","",""
"","2250","html-button-response","45","2.1.0","115310","pqdwu2hv9v8","","<p>Which image is the odd one out?</p>","2","ooo_distractor_silence","","","","","true","[""butterfly"",""ladybug"",""turtle"",""bee""]","turtle","","","","","","","",""
"","6068","html-button-response","46","2.1.0","121380","pqdwu2hv9v8","","<p>Which image is the odd one out?</p>","3","ooo_distractor_silence","","","","","true","[""pencil"",""crayon"",""paintbrush"",""banana""]","banana","","","","","","","",""
"","16347","survey","47","2.1.0","137767","pqdwu2hv9v8","","","{""selected_answers"":[""piano"",""journal"",""harbor"",""mirror"",""candle"",""phone"",""valley"",""road"",""lamp""]}","recall_silence","","","","","","","","[""piano"",""road"",""mirror"",""journal"",""valley"",""lamp"",""car"",""harbor"",""candle"",""phone""]","[""suitcase"",""blueprint"",""ladder"",""marble"",""violin""]","[""piano"",""journal"",""harbor"",""mirror"",""candle"",""phone"",""valley"",""road"",""lamp""]","[]","0","[""car""]","0.1","0.9"
"","14315","html-button-response","48","2.1.0","152086","pqdwu2hv9v8","","
                    <p><strong>You've finished the first trial.</strong></p>
                    <p>Take a moment to reset your mind. 🧠</p>
                    <p>Press <em>Continue</em> when you’re ready to start the next trial.</p>
                ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","49","2.0.0","162091","pqdwu2hv9v8","","<p>Starting trial with upbeat instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","50","2.0.0","162594","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","163596","pqdwu2hv9v8","","<p style=""font-size: 32px;"">tree</p>","null","upbeat_instrumental","word","tree","","","","","","","","","","","","",""
"","null","html-keyboard-response","52","2.0.0","164098","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","53","2.0.0","165102","pqdwu2hv9v8","","<p style=""font-size: 32px;"">window</p>","null","upbeat_instrumental","word","window","","","","","","","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","165608","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","55","2.0.0","166614","pqdwu2hv9v8","","<p style=""font-size: 32px;"">hill</p>","null","upbeat_instrumental","word","hill","","","","","","","","","","","","",""
"","null","html-keyboard-response","56","2.0.0","167118","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","168123","pqdwu2hv9v8","","<p style=""font-size: 32px;"">star</p>","null","upbeat_instrumental","word","star","","","","","","","","","","","","",""
"","null","html-keyboard-response","58","2.0.0","168626","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","59","2.0.0","169632","pqdwu2hv9v8","","<p style=""font-size: 32px;"">computer</p>","null","upbeat_instrumental","word","computer","","","","","","","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","170137","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","61","2.0.0","171140","pqdwu2hv9v8","","<p style=""font-size: 32px;"">train</p>","null","upbeat_instrumental","word","train","","","","","","","","","","","","",""
"","null","html-keyboard-response","62","2.0.0","171646","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","63","2.0.0","172649","pqdwu2hv9v8","","<p style=""font-size: 32px;"">guitar</p>","null","upbeat_instrumental","word","guitar","","","","","","","","","","","","",""
"","null","html-keyboard-response","64","2.0.0","173154","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","65","2.0.0","174161","pqdwu2hv9v8","","<p style=""font-size: 32px;"">desert</p>","null","upbeat_instrumental","word","desert","","","","","","","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","174665","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","67","2.0.0","175670","pqdwu2hv9v8","","<p style=""font-size: 32px;"">cup</p>","null","upbeat_instrumental","word","cup","","","","","","","","","","","","",""
"","null","html-keyboard-response","68","2.0.0","176174","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","177178","pqdwu2hv9v8","","<p style=""font-size: 32px;"">door</p>","null","upbeat_instrumental","word","door","","","","","","","","","","","","",""
"","null","html-keyboard-response","70","2.0.0","177680","pqdwu2hv9v8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","71","2.0.0","178684","pqdwu2hv9v8","","<p style=""font-size: 32px;"">ceiling</p>","null","upbeat_instrumental","word","ceiling","","","","","","","","","","","","",""
