"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"true","7075","fullscreen","0","null","8134","ptr747qpxgf","","","","","","","","",""
"","6431","external-html","1","2.1.0","14633","ptr747qpxgf","consent.html","","","","","","","",""
"","13228","html-button-response","2","2.1.0","27876","ptr747qpxgf","","
              <h2>Welcome to our study!</h2>
              <p><strong>Please read the following instructions:</strong></p>
              <p> In this study, you will complete a baseline evaluation about yourself and your music habits, genre preferences, study routines, and motivation levels.</p>
              <p>Next, you will be shown a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible.</p>
              <p>You will then be asked to identify the words you saw to assess your retention.</p>
              <p>Afterward, you will be asked to repeat the process under different audio conditions.</p>
              <p>Stay focused and do your best!","0","","","","","",""
"","88308","survey","3","2.1.0","116318","ptr747qpxgf","","","{""baseline-age"":22,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Pop"",""Rock"",""Ambient / New Age"",""Reggae"",""Electronic / EDM"",""Latin / Reggaeton""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":6}","","","","","",""
"","null","html-keyboard-response","4","2.0.0","119323","ptr747qpxgf","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","",""
"","9669","html-button-response","5","2.1.0","129080","ptr747qpxgf","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","",""
"","null","html-keyboard-response","6","2.0.0","134088","ptr747qpxgf","","<p>Starting trial with instrumental music.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","7","2.0.0","134593","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","8","2.0.0","135598","ptr747qpxgf","","<p style=""font-size: 32px;"">tree</p>","null","instrumental","word","tree","","",""
"","null","html-keyboard-response","9","2.0.0","136102","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","10","2.0.0","137106","ptr747qpxgf","","<p style=""font-size: 32px;"">window</p>","null","instrumental","word","window","","",""
"","null","html-keyboard-response","11","2.0.0","137610","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","12","2.0.0","138614","ptr747qpxgf","","<p style=""font-size: 32px;"">cloud</p>","null","instrumental","word","cloud","","",""
"","null","html-keyboard-response","13","2.0.0","139118","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","14","2.0.0","140122","ptr747qpxgf","","<p style=""font-size: 32px;"">star</p>","null","instrumental","word","star","","",""
"","null","html-keyboard-response","15","2.0.0","140625","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","16","2.0.0","141630","ptr747qpxgf","","<p style=""font-size: 32px;"">computer</p>","null","instrumental","word","computer","","",""
"","null","html-keyboard-response","17","2.0.0","142135","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","18","2.0.0","143140","ptr747qpxgf","","<p style=""font-size: 32px;"">train</p>","null","instrumental","word","train","","",""
"","null","html-keyboard-response","19","2.0.0","143644","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","20","2.0.0","144647","ptr747qpxgf","","<p style=""font-size: 32px;"">guitar</p>","null","instrumental","word","guitar","","",""
"","null","html-keyboard-response","21","2.0.0","145151","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","22","2.0.0","146155","ptr747qpxgf","","<p style=""font-size: 32px;"">desert</p>","null","instrumental","word","desert","","",""
"","null","html-keyboard-response","23","2.0.0","146659","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","24","2.0.0","147663","ptr747qpxgf","","<p style=""font-size: 32px;"">cup</p>","null","instrumental","word","cup","","",""
"","null","html-keyboard-response","25","2.0.0","148167","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","26","2.0.0","149170","ptr747qpxgf","","<p style=""font-size: 32px;"">door</p>","null","instrumental","word","door","","",""
"","null","html-keyboard-response","27","2.0.0","149674","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","28","2.0.0","150678","ptr747qpxgf","","<p style=""font-size: 32px;"">ceiling</p>","null","instrumental","word","ceiling","","",""
"","null","html-keyboard-response","29","2.0.0","151182","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","30","2.0.0","152186","ptr747qpxgf","","<p style=""font-size: 32px;"">desk</p>","null","instrumental","word","desk","","",""
"","null","html-keyboard-response","31","2.0.0","152689","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","32","2.0.0","153692","ptr747qpxgf","","<p style=""font-size: 32px;"">keyboard</p>","null","instrumental","word","keyboard","","",""
"","null","html-keyboard-response","33","2.0.0","154197","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","34","2.0.0","155200","ptr747qpxgf","","<p style=""font-size: 32px;"">horizon</p>","null","instrumental","word","horizon","","",""
"","null","html-keyboard-response","35","2.0.0","155704","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","36","2.0.0","156708","ptr747qpxgf","","<p style=""font-size: 32px;"">stream</p>","null","instrumental","word","stream","","",""
"","3296","html-button-response","37","2.1.0","160009","ptr747qpxgf","","<p>8 × 3 = ?</p>","1","math_distractor","","","1","true",""
"","4983","html-button-response","38","2.1.0","164995","ptr747qpxgf","","<p>15 - 9 = ?</p>","1","math_distractor","","","1","true",""
"","5365","html-button-response","39","2.1.0","170363","ptr747qpxgf","","<p>25 ÷ 5 = ?</p>","1","math_distractor","","","1","true",""
"","3951","html-button-response","40","2.1.0","174322","ptr747qpxgf","","<p>Which image is the odd one out?</p>","0","","","","","true",""
"","26436","survey","41","2.1.0","200802","ptr747qpxgf","","","{""selected_words"":[""train"",""guitar"",""keyboard"",""tree"",""pillow"",""parrot""]}","recall_instrumental","","","","","0.6666666666666666"
"","null","html-keyboard-response","42","2.0.0","205807","ptr747qpxgf","","<p>Starting trial with vocal music.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","43","2.0.0","206311","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","44","2.0.0","207315","ptr747qpxgf","","<p style=""font-size: 32px;"">apple</p>","null","vocal","word","apple","","",""
"","null","html-keyboard-response","45","2.0.0","207818","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","46","2.0.0","208821","ptr747qpxgf","","<p style=""font-size: 32px;"">table</p>","null","vocal","word","table","","",""
"","null","html-keyboard-response","47","2.0.0","209324","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","48","2.0.0","210328","ptr747qpxgf","","<p style=""font-size: 32px;"">dog</p>","null","vocal","word","dog","","",""
"","null","html-keyboard-response","49","2.0.0","210831","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","50","2.0.0","211834","ptr747qpxgf","","<p style=""font-size: 32px;"">sun</p>","null","vocal","word","sun","","",""
"","null","html-keyboard-response","51","2.0.0","212337","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","52","2.0.0","213340","ptr747qpxgf","","<p style=""font-size: 32px;"">chair</p>","null","vocal","word","chair","","",""
"","null","html-keyboard-response","53","2.0.0","213844","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","54","2.0.0","214847","ptr747qpxgf","","<p style=""font-size: 32px;"">pencil</p>","null","vocal","word","pencil","","",""
"","null","html-keyboard-response","55","2.0.0","215350","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","56","2.0.0","216352","ptr747qpxgf","","<p style=""font-size: 32px;"">river</p>","null","vocal","word","river","","",""
"","null","html-keyboard-response","57","2.0.0","216856","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","58","2.0.0","217859","ptr747qpxgf","","<p style=""font-size: 32px;"">moon</p>","null","vocal","word","moon","","",""
"","null","html-keyboard-response","59","2.0.0","218362","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","60","2.0.0","219366","ptr747qpxgf","","<p style=""font-size: 32px;"">house</p>","null","vocal","word","house","","",""
"","null","html-keyboard-response","61","2.0.0","219869","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","62","2.0.0","220872","ptr747qpxgf","","<p style=""font-size: 32px;"">flower</p>","null","vocal","word","flower","","",""
"","null","html-keyboard-response","63","2.0.0","221374","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","64","2.0.0","222378","ptr747qpxgf","","<p style=""font-size: 32px;"">bridge</p>","null","vocal","word","bridge","","",""
"","null","html-keyboard-response","65","2.0.0","222881","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","66","2.0.0","223884","ptr747qpxgf","","<p style=""font-size: 32px;"">stone</p>","null","vocal","word","stone","","",""
"","null","html-keyboard-response","67","2.0.0","224387","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","68","2.0.0","225390","ptr747qpxgf","","<p style=""font-size: 32px;"">forest</p>","null","vocal","word","forest","","",""
"","null","html-keyboard-response","69","2.0.0","225893","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","70","2.0.0","226897","ptr747qpxgf","","<p style=""font-size: 32px;"">cloud</p>","null","vocal","word","cloud","","",""
"","null","html-keyboard-response","71","2.0.0","227400","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","72","2.0.0","228403","ptr747qpxgf","","<p style=""font-size: 32px;"">pathway</p>","null","vocal","word","pathway","","",""
"","3440","html-button-response","73","2.1.0","231847","ptr747qpxgf","","<p>8 × 3 = ?</p>","1","math_distractor","","","1","true",""
"","2699","html-button-response","74","2.1.0","234548","ptr747qpxgf","","<p>15 - 9 = ?</p>","1","math_distractor","","","1","true",""
"","3099","html-button-response","75","2.1.0","237650","ptr747qpxgf","","<p>25 ÷ 5 = ?</p>","1","math_distractor","","","1","true",""
"","1681","html-button-response","76","2.1.0","239334","ptr747qpxgf","","<p>Which image is the odd one out?</p>","1","","","","","true",""
"","13029","survey","77","2.1.0","252396","ptr747qpxgf","","","{""selected_words"":[""cloud"",""flower"",""pathway"",""moon""]}","recall_vocal","","","","","1"
"","null","html-keyboard-response","78","2.0.0","257400","ptr747qpxgf","","<p>Starting trial with silence.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","79","2.0.0","257904","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","80","2.0.0","258907","ptr747qpxgf","","<p style=""font-size: 32px;"">phone</p>","null","silence","word","phone","","",""
"","null","html-keyboard-response","81","2.0.0","259411","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","82","2.0.0","260414","ptr747qpxgf","","<p style=""font-size: 32px;"">candle</p>","null","silence","word","candle","","",""
"","null","html-keyboard-response","83","2.0.0","260918","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","84","2.0.0","261922","ptr747qpxgf","","<p style=""font-size: 32px;"">ocean</p>","null","silence","word","ocean","","",""
"","null","html-keyboard-response","85","2.0.0","262425","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","86","2.0.0","263429","ptr747qpxgf","","<p style=""font-size: 32px;"">guitar</p>","null","silence","word","guitar","","",""
"","null","html-keyboard-response","87","2.0.0","263950","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","88","2.0.0","264953","ptr747qpxgf","","<p style=""font-size: 32px;"">mouse</p>","null","silence","word","mouse","","",""
"","null","html-keyboard-response","89","2.0.0","265457","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","90","2.0.0","266460","ptr747qpxgf","","<p style=""font-size: 32px;"">book</p>","null","silence","word","book","","",""
"","null","html-keyboard-response","91","2.0.0","266963","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","92","2.0.0","267967","ptr747qpxgf","","<p style=""font-size: 32px;"">lamp</p>","null","silence","word","lamp","","",""
"","null","html-keyboard-response","93","2.0.0","268470","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","94","2.0.0","269473","ptr747qpxgf","","<p style=""font-size: 32px;"">valley</p>","null","silence","word","valley","","",""
"","null","html-keyboard-response","95","2.0.0","269977","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","96","2.0.0","270980","ptr747qpxgf","","<p style=""font-size: 32px;"">mountain</p>","null","silence","word","mountain","","",""
"","null","html-keyboard-response","97","2.0.0","271484","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","98","2.0.0","272487","ptr747qpxgf","","<p style=""font-size: 32px;"">car</p>","null","silence","word","car","","",""
"","null","html-keyboard-response","99","2.0.0","272990","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","100","2.0.0","273993","ptr747qpxgf","","<p style=""font-size: 32px;"">mirror</p>","null","silence","word","mirror","","",""
"","null","html-keyboard-response","101","2.0.0","274495","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","102","2.0.0","275499","ptr747qpxgf","","<p style=""font-size: 32px;"">radio</p>","null","silence","word","radio","","",""
"","null","html-keyboard-response","103","2.0.0","276002","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","104","2.0.0","277005","ptr747qpxgf","","<p style=""font-size: 32px;"">harbor</p>","null","silence","word","harbor","","",""
"","null","html-keyboard-response","105","2.0.0","277508","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","106","2.0.0","278512","ptr747qpxgf","","<p style=""font-size: 32px;"">road</p>","null","silence","word","road","","",""
"","null","html-keyboard-response","107","2.0.0","279014","ptr747qpxgf","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","108","2.0.0","280020","ptr747qpxgf","","<p style=""font-size: 32px;"">journal</p>","null","silence","word","journal","","",""
"","2429","html-button-response","109","2.1.0","282458","ptr747qpxgf","","<p>8 × 3 = ?</p>","1","math_distractor","","","1","true",""
"","2112","html-button-response","110","2.1.0","284575","ptr747qpxgf","","<p>15 - 9 = ?</p>","1","math_distractor","","","1","true",""
"","1546","html-button-response","111","2.1.0","286126","ptr747qpxgf","","<p>25 ÷ 5 = ?</p>","1","math_distractor","","","1","true",""
"","1216","html-button-response","112","2.1.0","287346","ptr747qpxgf","","<p>Which image is the odd one out?</p>","2","","","","","true",""
"","18712","survey","113","2.1.0","306097","ptr747qpxgf","","","{""selected_words"":[""candle"",""book"",""breeze"",""car"",""road""]}","recall_silence","","","","","0.8"
"","42663","survey","114","2.1.0","348802","ptr747qpxgf","","","{""reflect-study-mood"":7,""reflect-study-motivation"":7,""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}","","","","","",""
