"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","1442","fullscreen","0","null","2452","pv0sfrxu15r","","","","","","","","","","","","","","","","","","",""
"","20020","external-html","1","2.1.0","22788","pv0sfrxu15r","consent.html","","","","","","","","","","","","","","","","","",""
"","9473","html-button-response","2","2.1.0","32263","pv0sfrxu15r","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","50317","survey","3","2.1.0","82631","pv0sfrxu15r","","","{""baseline-age"":18,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Pop"",""R&B / Soul"",""Hip-Hop / Rap"",""K-Pop / J-Pop"",""other"",""Lo-fi / Chillhop"",""Classical""],""baseline-music-type-Comment"":""Indian"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","85633","pv0sfrxu15r","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","15334","html-button-response","5","2.1.0","100969","pv0sfrxu15r","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","110973","pv0sfrxu15r","","<p>Starting trial with lyrical music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","111477","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","112481","pv0sfrxu15r","","<p style=""font-size: 32px;"">basket</p>","null","lyrical","word","basket","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","112984","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","113987","pv0sfrxu15r","","<p style=""font-size: 32px;"">tower</p>","null","lyrical","word","tower","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","114491","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","115495","pv0sfrxu15r","","<p style=""font-size: 32px;"">riverbank</p>","null","lyrical","word","riverbank","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","115999","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","117003","pv0sfrxu15r","","<p style=""font-size: 32px;"">glacier</p>","null","lyrical","word","glacier","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","117506","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","118508","pv0sfrxu15r","","<p style=""font-size: 32px;"">notebook</p>","null","lyrical","word","notebook","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","119012","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","120015","pv0sfrxu15r","","<p style=""font-size: 32px;"">planet</p>","null","lyrical","word","planet","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","120518","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","121521","pv0sfrxu15r","","<p style=""font-size: 32px;"">meadow</p>","null","lyrical","word","meadow","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","122024","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","123026","pv0sfrxu15r","","<p style=""font-size: 32px;"">statue</p>","null","lyrical","word","statue","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","123530","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","124534","pv0sfrxu15r","","<p style=""font-size: 32px;"">lantern</p>","null","lyrical","word","lantern","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","125037","pv0sfrxu15r","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","126039","pv0sfrxu15r","","<p style=""font-size: 32px;"">avenue</p>","null","lyrical","word","avenue","","","","","","","","","","","","",""
