"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"true","5166","fullscreen","0","null","6196","px8xhr37kqe","","","","","","","","",""
"","2361","external-html","1","2.1.0","8718","px8xhr37kqe","consent.html","","","","","","","",""
"","1251","html-button-response","2","2.1.0","9982","px8xhr37kqe","","
              <h2>Welcome to our study!</h2>
              <p><strong>Please read the following instructions:</strong></p>
              <p> In this study, you will complete a baseline evaluation about yourself and your music habits, genre preferences, study routines, and motivation levels.</p>
              <p>Next, you will be shown a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible.</p>
              <p>You will then be asked to identify the words you saw to assess your retention.</p>
              <p>Afterward, you will be asked to repeat the process under different audio conditions.</p>
              <p>Stay focused and do your best!","0","","","","","",""
"","55472","survey","3","2.1.0","65563","px8xhr37kqe","","","{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Indie"",""baseline-study-location"":[""Home"",""Coffee shop"",""Library""],""baseline-study-hours"":""6-7"",""baseline-study-motivation"":7}","","","","","",""
"","null","html-keyboard-response","4","2.0.0","68567","px8xhr37kqe","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","",""
"","18055","html-button-response","5","2.1.0","86668","px8xhr37kqe","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","",""
"","null","html-keyboard-response","6","2.0.0","91673","px8xhr37kqe","","<p>Starting trial with vocal music.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","7","2.0.0","92179","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","8","2.0.0","93183","px8xhr37kqe","","<p style=""font-size: 32px;"">phone</p>","null","vocal","word","phone","","",""
"","null","html-keyboard-response","9","2.0.0","93686","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","10","2.0.0","94690","px8xhr37kqe","","<p style=""font-size: 32px;"">candle</p>","null","vocal","word","candle","","",""
"","null","html-keyboard-response","11","2.0.0","95194","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","12","2.0.0","96198","px8xhr37kqe","","<p style=""font-size: 32px;"">ocean</p>","null","vocal","word","ocean","","",""
"","null","html-keyboard-response","13","2.0.0","96702","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","14","2.0.0","97706","px8xhr37kqe","","<p style=""font-size: 32px;"">guitar</p>","null","vocal","word","guitar","","",""
"","null","html-keyboard-response","15","2.0.0","98210","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","16","2.0.0","99213","px8xhr37kqe","","<p style=""font-size: 32px;"">mouse</p>","null","vocal","word","mouse","","",""
"","null","html-keyboard-response","17","2.0.0","99716","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","18","2.0.0","100720","px8xhr37kqe","","<p style=""font-size: 32px;"">book</p>","null","vocal","word","book","","",""
"","null","html-keyboard-response","19","2.0.0","101224","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","20","2.0.0","102227","px8xhr37kqe","","<p style=""font-size: 32px;"">lamp</p>","null","vocal","word","lamp","","",""
"","null","html-keyboard-response","21","2.0.0","102731","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","22","2.0.0","103735","px8xhr37kqe","","<p style=""font-size: 32px;"">valley</p>","null","vocal","word","valley","","",""
"","null","html-keyboard-response","23","2.0.0","104238","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","24","2.0.0","105242","px8xhr37kqe","","<p style=""font-size: 32px;"">mountain</p>","null","vocal","word","mountain","","",""
"","null","html-keyboard-response","25","2.0.0","105745","px8xhr37kqe","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","26","2.0.0","106749","px8xhr37kqe","","<p style=""font-size: 32px;"">car</p>","null","vocal","word","car","","",""
