random_id,baseline_response,post_survey_response
p0do0zvof09,"{""baseline-age"":18,""baseline-race"":[""Asian"",""White""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Jazz"",""Lo-fi / Chillhop"",""R&B / Soul"",""Pop"",""Rock""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":7}","{""reflect-study-mood"":7,""reflect-study-motivation"":5,""motivation_ranking"":[""Upbeat Instrumental"",""Lyrical Music"",""Chill Instrumental"",""Silence""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""The first electronic track and the chill track were my favorites"",""reflect-difficulties"":""n/a"",""reflect-feedback"":""n/a""}"
p0j4gk7z0tg,"{""baseline-age"":19,""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""Asian""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""Pop"",""R&B / Soul""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":7}","{""reflect-study-mood"":6,""reflect-study-motivation"":7,""motivation_ranking"":[""Silence"",""Upbeat Instrumental"",""Chill Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I did not dislike the first one but I focus better without music"",""reflect-difficulties"":""n/a"",""reflect-feedback"":""I enjoyed it even though I had a hard time remembering the words""}"
p0vqdg59kpg,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Lo-fi / Chillhop"",""R&B / Soul""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home"",""Coffee shop"",""Library""],""baseline-study-motivation"":5}","{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Lyrical Music"",""Chill Instrumental"",""Silence"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""track one most"",""reflect-feedback"":""fun!"",""reflect-difficulties"":""No""}"
p213h3m86k1,"{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Rock""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Library""],""baseline-study-motivation"":7}","{""reflect-study-mood"":7,""reflect-study-motivation"":7,""motivation_ranking"":[""Silence"",""Chill Instrumental"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Did not like the upbeat instrumental music"",""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A - hopefully the order of all four is random to prevent bias""}"
p22eac6c2ul,"{""baseline-age"":27,""baseline-race"":[""Asian"",""White""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""none""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""other""],""baseline-study-location-Comment"":""Lab where I do research"",""baseline-study-motivation"":8}","{""reflect-study-mood"":6,""reflect-study-motivation"":9,""motivation_ranking"":[""Silence"",""Chill Instrumental"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""The lyrical song"",""reflect-difficulties"":""No"",""reflect-feedback"":"" No""}"
p2jjxlzfqaj,"{""baseline-age"":25,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""Classical"",""Lo-fi / Chillhop"",""Hip-Hop / Rap"",""Podcasts / Spoken Word"",""other""],""baseline-music-type-Comment"":""Punk"",""baseline-study-hours"":""10+"",""baseline-study-location"":[""Coffee shop"",""Home""],""baseline-study-motivation"":7}","{""reflect-study-mood"":10,""reflect-study-motivation"":5,""motivation_ranking"":[""Silence"",""Chill Instrumental"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Blondie would go into the rotation, don't think that House beat could make me do anything except bop. "",""reflect-difficulties"":""No"",""reflect-feedback"":""No""}"
p39h55yf3g8,"{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Latin / Reggaeton""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":4}","{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental"",""Silence""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
p3she5m9vrb,"{""baseline-age"":23,""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Electronic / EDM"",""Hip-Hop / Rap"",""Rock"",""other""],""baseline-music-type-Comment"":""Metal"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Coffee shop"",""Library"",""Home""],""baseline-study-motivation"":8}","{""reflect-study-mood"":7,""reflect-study-motivation"":7,""motivation_ranking"":[""Upbeat Instrumental"",""Lyrical Music"",""Chill Instrumental"",""Silence""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""the upbeat instrumental music was good"",""reflect-feedback"":""i <3 jack"",""reflect-difficulties"":""my first attempt was cut short after trial one because i fat fingered the home button""}"
p5bhrpqwzpz,"{""baseline-age"":20,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Nature Sounds / White Noise""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Library"",""Home"",""Coffee shop""],""baseline-study-motivation"":8}","{""reflect-study-mood"":9,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Lyrical Music"",""Silence""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Both"",""reflect-difficulties"":""No"",""reflect-feedback"":""No""}"
p8dr9p7zjs2,"{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Rock"",""other""],""baseline-music-type-Comment"":""Grunge and Folk"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}","{""reflect-study-motivation"":3,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-study-mood"":6,""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""both"",""reflect-difficulties"":""no"",""reflect-feedback"":""no""}"
