random_id,rt,phase,response
pztcfa1tggb,46719.0,,"{""baseline-age"":18,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Jazz"",""Nature Sounds / White Noise""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":3}"
pztcfa1tggb,63030.0,,"{""reflect-study-mood"":9,""reflect-study-motivation"":5,""motivation_ranking"":[""Chill Instrumental"",""Lyrical Music"",""Silence"",""Upbeat Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""The chill one better"",""reflect-difficulties"":null,""reflect-feedback"":null}"
pv0sfrxu15r,50317.0,,"{""baseline-age"":18,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Pop"",""R&B / Soul"",""Hip-Hop / Rap"",""K-Pop / J-Pop"",""other"",""Lo-fi / Chillhop"",""Classical""],""baseline-music-type-Comment"":""Indian"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}"
pv0sfrxu15r,43828.0,,"{""reflect-study-mood"":7,""reflect-study-motivation"":5,""motivation_ranking"":[""Silence"",""Upbeat Instrumental"",""Chill Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A""}"
pjb0cxwd8yd,95111.0,,"{""baseline-age"":21,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""K-Pop / J-Pop"",""Pop"",""R&B / Soul"",""Lo-fi / Chillhop""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home"",""Coffee shop"",""other""],""baseline-study-location-Comment"":""Apartment study room"",""baseline-study-motivation"":6}"
pjb0cxwd8yd,102300.0,,"{""reflect-study-motivation"":6,""reflect-study-mood"":7,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Silence"",""Lyrical Music""],""reflect-device"":""Phone"",""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""The chill music"",""reflect-difficulties"":null,""reflect-feedback"":null}"
pddu8w00oyk,38022.0,,"{""baseline-age"":24,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Jazz"",""Lo-fi / Chillhop"",""Pop"",""Hip-Hop / Rap"",""Reggae"",""K-Pop / J-Pop"",""Podcasts / Spoken Word""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":8}"
pddu8w00oyk,71690.0,,"{""reflect-study-mood"":10,""reflect-study-motivation"":9,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental"",""Silence""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I like all of them"",""reflect-difficulties"":""No"",""reflect-feedback"":""The study is fun :)""}"
pbgh9pvsyuy,60785.0,,"{""baseline-age"":22,""baseline-race"":[""White""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""none""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Coffee shop"",""Library"",""Home""],""baseline-study-motivation"":5}"
pbgh9pvsyuy,70602.0,,"{""reflect-study-mood"":7,""reflect-study-motivation"":7,""motivation_ranking"":[""Lyrical Music"",""Silence"",""Chill Instrumental"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
pls7hssk9n5,58473.0,,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""Podcasts / Spoken Word""],""baseline-study-hours"":""0-1"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":2}"
pls7hssk9n5,109419.0,,"{""reflect-study-mood"":3,""reflect-study-motivation"":1,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Silence"",""Lyrical Music""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""i no like"",""reflect-music-familiarity"":""One of them"",""reflect-difficulties"":""No"",""reflect-feedback"":""No""}"
pcjkmkfwl4d,44996.0,,"{""baseline-age"":20,""baseline-race"":[""Middle Eastern or North African""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Jazz"",""Lo-fi / Chillhop"",""R&B / Soul"",""Hip-Hop / Rap"",""Ambient / New Age""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library"",""Coffee shop""],""baseline-study-motivation"":6}"
pcjkmkfwl4d,87460.0,,"{""reflect-study-mood"":9,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Silence"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Desktop Computer"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""The chill instrumental and upbeat house tracks were good, lyrical one was tough to pay attention "",""reflect-difficulties"":null,""reflect-feedback"":null}"
pg89slmjbse,237614.0,,"{""baseline-age"":24,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Classical"",""Nature Sounds / White Noise""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":6}"
pg89slmjbse,120402.0,,"{""reflect-study-mood"":10,""reflect-study-motivation"":9,""motivation_ranking"":[""Upbeat Instrumental"",""Silence"",""Chill Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Both tracks hard af no cap. Not studying type ya feel."",""reflect-difficulties"":""no"",""reflect-feedback"":null}"
ps8ryezd7ou,183943.0,,"{""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""White""],""baseline-age"":22,""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Podcasts / Spoken Word"",""other"",""Classical""],""baseline-music-type-Comment"":""most any genre that is instrumental (POLYPHIA)"",""baseline-study-location"":[""Home"",""other""],""baseline-study-hours"":""0-1"",""baseline-study-motivation"":3,""baseline-study-location-Comment"":""on campus quiet areas/desks""}"
ps8ryezd7ou,63984.0,,"{""reflect-study-mood"":6,""reflect-study-motivation"":6,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":""n/a"",""reflect-feedback"":""n/a""}"
p3she5m9vrb,50570.0,,"{""baseline-age"":23,""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Electronic / EDM"",""Hip-Hop / Rap"",""Rock"",""other""],""baseline-music-type-Comment"":""Metal"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Coffee shop"",""Library"",""Home""],""baseline-study-motivation"":8}"
