"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","3409","fullscreen","0","null","4419","p0j4gk7z0tg","","","","","","","","","","","","","","","","","","",""
"","133964","external-html","1","2.1.0","138546","p0j4gk7z0tg","consent.html","","","","","","","","","","","","","","","","","",""
"","173094","html-button-response","2","2.1.0","311642","p0j4gk7z0tg","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","64659","survey","3","2.1.0","376352","p0j4gk7z0tg","","","{""baseline-age"":19,""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""Asian""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""Pop"",""R&B / Soul""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":7}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","379353","p0j4gk7z0tg","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","6782","html-button-response","5","2.1.0","386138","p0j4gk7z0tg","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","396141","p0j4gk7z0tg","","<p>Starting trial with silence.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","396645","p0j4gk7z0tg","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","397649","p0j4gk7z0tg","","<p style=""font-size: 32px;"">basket</p>","null","silence","word","basket","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","398152","p0j4gk7z0tg","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
