"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","7006","fullscreen","0","null","8017","p39h55yf3g8","","","","","","","","","","","","","","","","","","",""
"","17881","external-html","1","2.1.0","26045","p39h55yf3g8","consent.html","","","","","","","","","","","","","","","","","",""
"","25724","html-button-response","2","2.1.0","51781","p39h55yf3g8","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","67612","survey","3","2.1.0","119502","p39h55yf3g8","","","{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Latin / Reggaeton""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":4}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","122505","p39h55yf3g8","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","17297","html-button-response","5","2.1.0","139867","p39h55yf3g8","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","149873","p39h55yf3g8","","<p>Starting trial with lyrical music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","150383","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","151388","p39h55yf3g8","","<p style=""font-size: 32px;"">apple</p>","null","lyrical","word","apple","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","151892","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","152896","p39h55yf3g8","","<p style=""font-size: 32px;"">table</p>","null","lyrical","word","table","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","153400","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","154404","p39h55yf3g8","","<p style=""font-size: 32px;"">dog</p>","null","lyrical","word","dog","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","154908","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","155914","p39h55yf3g8","","<p style=""font-size: 32px;"">sun</p>","null","lyrical","word","sun","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","156419","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","157424","p39h55yf3g8","","<p style=""font-size: 32px;"">chair</p>","null","lyrical","word","chair","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","157928","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","158933","p39h55yf3g8","","<p style=""font-size: 32px;"">pencil</p>","null","lyrical","word","pencil","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","159436","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","160441","p39h55yf3g8","","<p style=""font-size: 32px;"">river</p>","null","lyrical","word","river","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","160945","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","161950","p39h55yf3g8","","<p style=""font-size: 32px;"">moon</p>","null","lyrical","word","moon","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","162453","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","163457","p39h55yf3g8","","<p style=""font-size: 32px;"">house</p>","null","lyrical","word","house","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","163961","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","164965","p39h55yf3g8","","<p style=""font-size: 32px;"">flower</p>","null","lyrical","word","flower","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","165470","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","166474","p39h55yf3g8","","<p style=""font-size: 32px;"">bridge</p>","null","lyrical","word","bridge","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","166977","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","167981","p39h55yf3g8","","<p style=""font-size: 32px;"">stone</p>","null","lyrical","word","stone","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","168486","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","32","2.0.0","169489","p39h55yf3g8","","<p style=""font-size: 32px;"">forest</p>","null","lyrical","word","forest","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","169994","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","34","2.0.0","170998","p39h55yf3g8","","<p style=""font-size: 32px;"">cloud</p>","null","lyrical","word","cloud","","","","","","","","","","","","",""
"","null","html-keyboard-response","35","2.0.0","171502","p39h55yf3g8","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","172506","p39h55yf3g8","","<p style=""font-size: 32px;"">pathway</p>","null","lyrical","word","pathway","","","","","","","","","","","","",""
"","4982","html-button-response","37","2.1.0","177494","p39h55yf3g8","","<p style=""font-size: 36px;"">25 ÷ 5 = ?</p>","1","math_distractor_lyrical","","","1","25 ÷ 5 = ?","true","","","","","","","","","",""
"","7531","html-button-response","38","2.1.0","185029","p39h55yf3g8","","<p style=""font-size: 36px;"">15 - 9 = ?</p>","3","math_distractor_lyrical","","","3","15 - 9 = ?","true","","","","","","","","","",""
"","9962","html-button-response","39","2.1.0","194995","p39h55yf3g8","","<p style=""font-size: 36px;"">14 + 9 = ?</p>","3","math_distractor_lyrical","","","1","14 + 9 = ?","false","","","","","","","","","",""
"","3754","html-button-response","40","2.1.0","198753","p39h55yf3g8","","<p style=""font-size: 36px;"">18 - 7 = ?</p>","0","math_distractor_lyrical","","","0","18 - 7 = ?","true","","","","","","","","","",""
"","7184","html-button-response","41","2.1.0","205941","p39h55yf3g8","","<p style=""font-size: 36px;"">27 - 13 = ?</p>","2","math_distractor_lyrical","","","2","27 - 13 = ?","true","","","","","","","","","",""
"","10808","html-button-response","42","2.1.0","216755","p39h55yf3g8","","<p>Which image is the odd one out?</p>","2","ooo_distractor_lyrical","","","","","true","[""yarn"",""needle"",""palette"",""thread""]","palette","","","","","","","",""
"","3696","html-button-response","43","2.1.0","220456","p39h55yf3g8","","<p>Which image is the odd one out?</p>","3","ooo_distractor_lyrical","","","","","true","[""keyboard"",""pc"",""mouse"",""teapot""]","teapot","","","","","","","",""
"","2928","html-button-response","44","2.1.0","223389","p39h55yf3g8","","<p>Which image is the odd one out?</p>","1","ooo_distractor_lyrical","","","","","true","[""green_circle"",""orange_square"",""red_circle"",""blue_circle""]","orange_square","","","","","","","",""
"","2194","html-button-response","45","2.1.0","225587","p39h55yf3g8","","<p>Which image is the odd one out?</p>","2","ooo_distractor_lyrical","","","","","true","[""basketball"",""baseball"",""mushroom"",""football""]","mushroom","","","","","","","",""
"","3180","html-button-response","46","2.1.0","228773","p39h55yf3g8","","<p>Which image is the odd one out?</p>","3","ooo_distractor_lyrical","","","","","true","[""eyes"",""ear"",""mouth"",""shirt""]","shirt","","","","","","","",""
"","19637","survey","47","2.1.0","248461","p39h55yf3g8","","","{""selected_answers"":[""bridge"",""moon"",""sun"",""table"",""dog"",""chair"",""pencil""]}","recall_lyrical","","","","","","","","[""pencil"",""chair"",""river"",""bridge"",""table"",""sun"",""moon"",""pathway"",""dog"",""cloud""]","[""plank"",""suitcase"",""blueprint"",""ladder"",""blanket""]","[""bridge"",""moon"",""sun"",""table"",""dog"",""chair"",""pencil""]","[]","0","[""river"",""pathway"",""cloud""]","0.3","0.7"
