"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","2044","fullscreen","0","null","3058","pjb0cxwd8yd","","","","","","","","","","","","","","","","","","",""
"","12201","external-html","1","2.1.0","15491","pjb0cxwd8yd","consent.html","","","","","","","","","","","","","","","","","",""
"","1791","html-button-response","2","2.1.0","17294","pjb0cxwd8yd","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","95111","survey","3","2.1.0","112479","pjb0cxwd8yd","","","{""baseline-age"":21,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""K-Pop / J-Pop"",""Pop"",""R&B / Soul"",""Lo-fi / Chillhop""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home"",""Coffee shop"",""other""],""baseline-study-location-Comment"":""Apartment study room"",""baseline-study-motivation"":6}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","115482","pjb0cxwd8yd","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","4984","html-button-response","5","2.1.0","120509","pjb0cxwd8yd","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","130525","pjb0cxwd8yd","","<p>Starting trial with chill instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","131032","pjb0cxwd8yd","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","132036","pjb0cxwd8yd","","<p style=""font-size: 32px;"">apple</p>","null","instrumental","word","apple","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","132540","pjb0cxwd8yd","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
