"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"true","9147","fullscreen","0","null","10171","ps9zxm0rjqr","","","","","","","","",""
"","3104","external-html","1","2.1.0","13610","ps9zxm0rjqr","consent.html","","","","","","","",""
"","4376","html-button-response","2","2.1.0","17997","ps9zxm0rjqr","","
              <h2>Welcome to our study!</h2>
              <p><strong>Please read the following instructions:</strong></p>
              <p> In this study, you will complete a baseline evaluation about yourself and your music habits, genre preferences, study routines, and motivation levels.</p>
              <p>Next, you will be shown a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible.</p>
              <p>You will then be asked to identify the words you saw to assess your retention.</p>
              <p>Afterward, you will be asked to repeat the process under different audio conditions.</p>
              <p>Stay focused and do your best!","0","","","","","",""
"","62231","survey","3","2.1.0","80321","ps9zxm0rjqr","","","{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Jazz"",""Classical"",""Lo-fi / Chillhop"",""Pop"",""other""],""baseline-music-type-Comment"":""Worship music"",""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Coffee shop"",""Home""],""baseline-study-motivation"":6}","","","","","",""
"","null","html-keyboard-response","4","2.0.0","83325","ps9zxm0rjqr","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","",""
"","2808","html-button-response","5","2.1.0","86169","ps9zxm0rjqr","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","",""
"","null","html-keyboard-response","6","2.0.0","91173","ps9zxm0rjqr","","<p>Starting trial with instrumental music.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","7","2.0.0","91676","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","8","2.0.0","92679","ps9zxm0rjqr","","<p style=""font-size: 32px;"">apple</p>","null","instrumental","word","apple","","",""
"","null","html-keyboard-response","9","2.0.0","93181","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","10","2.0.0","94183","ps9zxm0rjqr","","<p style=""font-size: 32px;"">table</p>","null","instrumental","word","table","","",""
"","null","html-keyboard-response","11","2.0.0","94687","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
