"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"true","2775","fullscreen","0","null","3811","pt6140msbgv","","","","","","","","",""
"","2930","external-html","1","2.1.0","6972","pt6140msbgv","consent.html","","","","","","","",""
"","1424","html-button-response","2","2.1.0","8407","pt6140msbgv","","
              <h2>Welcome to our study!</h2>
              <p><strong>Please read the following instructions:</strong></p>
              <p> In this study, you will complete a baseline evaluation about yourself and your music habits, genre preferences, study routines, and motivation levels.</p>
              <p>Next, you will be shown a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible.</p>
              <p>You will then be asked to identify the words you saw to assess your retention.</p>
              <p>Afterward, you will be asked to repeat the process under different audio conditions.</p>
              <p>Stay focused and do your best!","0","","","","","",""
"","62665","survey","3","2.1.0","71169","pt6140msbgv","","","{""baseline-age"":22,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Reggae"",""Hip-Hop / Rap"",""R&B / Soul"",""Rock"",""Pop"",""Classical"",""Jazz"",""Latin / Reggaeton""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}","","","","","",""
"","null","html-keyboard-response","4","2.0.0","74172","pt6140msbgv","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","",""
"","13270","html-button-response","5","2.1.0","87479","pt6140msbgv","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","",""
"","null","html-keyboard-response","6","2.0.0","92483","pt6140msbgv","","<p>Starting trial with vocal music.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","7","2.0.0","92989","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","8","2.0.0","93993","pt6140msbgv","","<p style=""font-size: 32px;"">apple</p>","null","vocal","word","apple","","",""
"","null","html-keyboard-response","9","2.0.0","94496","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","10","2.0.0","95500","pt6140msbgv","","<p style=""font-size: 32px;"">table</p>","null","vocal","word","table","","",""
"","null","html-keyboard-response","11","2.0.0","96003","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","12","2.0.0","97006","pt6140msbgv","","<p style=""font-size: 32px;"">dog</p>","null","vocal","word","dog","","",""
"","null","html-keyboard-response","13","2.0.0","97509","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","14","2.0.0","98512","pt6140msbgv","","<p style=""font-size: 32px;"">sun</p>","null","vocal","word","sun","","",""
"","null","html-keyboard-response","15","2.0.0","99024","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","16","2.0.0","100042","pt6140msbgv","","<p style=""font-size: 32px;"">chair</p>","null","vocal","word","chair","","",""
"","null","html-keyboard-response","17","2.0.0","100552","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","18","2.0.0","101571","pt6140msbgv","","<p style=""font-size: 32px;"">pencil</p>","null","vocal","word","pencil","","",""
"","null","html-keyboard-response","19","2.0.0","102081","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","20","2.0.0","103101","pt6140msbgv","","<p style=""font-size: 32px;"">river</p>","null","vocal","word","river","","",""
"","null","html-keyboard-response","21","2.0.0","103611","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","22","2.0.0","104632","pt6140msbgv","","<p style=""font-size: 32px;"">moon</p>","null","vocal","word","moon","","",""
"","null","html-keyboard-response","23","2.0.0","105142","pt6140msbgv","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
