"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","3945","fullscreen","0","null","4961","pcjkmkfwl4d","","","","","","","","","","","","","","","","","","",""
"","2371","external-html","1","2.1.0","7445","pcjkmkfwl4d","consent.html","","","","","","","","","","","","","","","","","",""
"","6076","html-button-response","2","2.1.0","13522","pcjkmkfwl4d","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","44996","survey","3","2.1.0","58579","pcjkmkfwl4d","","","{""baseline-age"":20,""baseline-race"":[""Middle Eastern or North African""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Jazz"",""Lo-fi / Chillhop"",""R&B / Soul"",""Hip-Hop / Rap"",""Ambient / New Age""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library"",""Coffee shop""],""baseline-study-motivation"":6}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","61591","pcjkmkfwl4d","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","8950","html-button-response","5","2.1.0","70543","pcjkmkfwl4d","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","80556","pcjkmkfwl4d","","<p>Starting trial with silence.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","81058","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","82073","pcjkmkfwl4d","","<p style=""font-size: 32px;"">phone</p>","null","silence","word","phone","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","82579","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","83593","pcjkmkfwl4d","","<p style=""font-size: 32px;"">candle</p>","null","silence","word","candle","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","84101","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","85103","pcjkmkfwl4d","","<p style=""font-size: 32px;"">ocean</p>","null","silence","word","ocean","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","85607","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","86623","pcjkmkfwl4d","","<p style=""font-size: 32px;"">piano</p>","null","silence","word","piano","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","87127","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","88143","pcjkmkfwl4d","","<p style=""font-size: 32px;"">mouse</p>","null","silence","word","mouse","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","88653","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","89657","pcjkmkfwl4d","","<p style=""font-size: 32px;"">book</p>","null","silence","word","book","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","90169","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","91181","pcjkmkfwl4d","","<p style=""font-size: 32px;"">lamp</p>","null","silence","word","lamp","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","91691","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","92704","pcjkmkfwl4d","","<p style=""font-size: 32px;"">valley</p>","null","silence","word","valley","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","93208","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","94223","pcjkmkfwl4d","","<p style=""font-size: 32px;"">mountain</p>","null","silence","word","mountain","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","94732","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","95747","pcjkmkfwl4d","","<p style=""font-size: 32px;"">car</p>","null","silence","word","car","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","96256","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","97268","pcjkmkfwl4d","","<p style=""font-size: 32px;"">mirror</p>","null","silence","word","mirror","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","97777","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","98785","pcjkmkfwl4d","","<p style=""font-size: 32px;"">radio</p>","null","silence","word","radio","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","99293","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","32","2.0.0","100309","pcjkmkfwl4d","","<p style=""font-size: 32px;"">harbor</p>","null","silence","word","harbor","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","100816","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","34","2.0.0","101823","pcjkmkfwl4d","","<p style=""font-size: 32px;"">road</p>","null","silence","word","road","","","","","","","","","","","","",""
"","null","html-keyboard-response","35","2.0.0","102332","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","103345","pcjkmkfwl4d","","<p style=""font-size: 32px;"">journal</p>","null","silence","word","journal","","","","","","","","","","","","",""
"","4835","html-button-response","37","2.1.0","108180","pcjkmkfwl4d","","<p style=""font-size: 36px;"">32 - 18 = ?</p>","2","math_distractor_silence","","","2","32 - 18 = ?","true","","","","","","","","","",""
"","1463","html-button-response","38","2.1.0","109644","pcjkmkfwl4d","","<p style=""font-size: 36px;"">50 ÷ 10 = ?</p>","3","math_distractor_silence","","","3","50 ÷ 10 = ?","true","","","","","","","","","",""
"","1217","html-button-response","39","2.1.0","110862","pcjkmkfwl4d","","<p style=""font-size: 36px;"">36 ÷ 6 = ?</p>","3","math_distractor_silence","","","3","36 ÷ 6 = ?","true","","","","","","","","","",""
"","2490","html-button-response","40","2.1.0","113353","pcjkmkfwl4d","","<p style=""font-size: 36px;"">15 - 9 = ?</p>","3","math_distractor_silence","","","3","15 - 9 = ?","true","","","","","","","","","",""
"","1448","html-button-response","41","2.1.0","114801","pcjkmkfwl4d","","<p style=""font-size: 36px;"">8 × 3 = ?</p>","2","math_distractor_silence","","","2","8 × 3 = ?","true","","","","","","","","","",""
"","2150","html-button-response","42","2.1.0","116952","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","2","ooo_distractor_silence","","","","","true","[""red_circle"",""green_circle"",""orange_square"",""blue_circle""]","orange_square","","","","","","","",""
"","2969","html-button-response","43","2.1.0","119922","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","0","ooo_distractor_silence","","","","","true","[""turtle"",""ladybug"",""bee"",""butterfly""]","turtle","","","","","","","",""
"","1542","html-button-response","44","2.1.0","121465","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","0","ooo_distractor_silence","","","","","true","[""balloon"",""orange"",""strawberry"",""lemon""]","balloon","","","","","","","",""
"","6271","html-button-response","45","2.1.0","127737","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","1","ooo_distractor_silence","","","","","true","[""yarn"",""palette"",""needle"",""thread""]","palette","","","","","","","",""
"","2398","html-button-response","46","2.1.0","130135","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","3","ooo_distractor_silence","","","","","true","[""tophat"",""cap"",""crown"",""glasses""]","glasses","","","","","","","",""
"","32194","survey","47","2.1.0","162344","pcjkmkfwl4d","","","{""selected_answers"":[""mirror"",""phone"",""mouse"",""road"",""book"",""radio""]}","recall_silence","","","","","","","","[""book"",""road"",""mountain"",""phone"",""radio"",""journal"",""mirror"",""mouse"",""car"",""lamp""]","[""echo"",""envelope"",""ruler"",""clipboard"",""breeze""]","[""mirror"",""phone"",""mouse"",""road"",""book"",""radio""]","[]","0","[""mountain"",""journal"",""car"",""lamp""]","0.4","0.6"
"","7162","html-button-response","48","2.1.0","169507","pcjkmkfwl4d","","
                    <p><strong>You've finished the first trial.</strong></p>
                    <p>Take a moment to reset your mind. 🧠</p>
                    <p>Press <em>Continue</em> when you’re ready to start the next trial.</p>
                ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","49","2.0.0","179511","pcjkmkfwl4d","","<p>Starting trial with upbeat instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","50","2.0.0","180021","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","181029","pcjkmkfwl4d","","<p style=""font-size: 32px;"">apple</p>","null","upbeat_instrumental","word","apple","","","","","","","","","","","","",""
"","null","html-keyboard-response","52","2.0.0","181538","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","53","2.0.0","182541","pcjkmkfwl4d","","<p style=""font-size: 32px;"">table</p>","null","upbeat_instrumental","word","table","","","","","","","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","183052","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","55","2.0.0","184060","pcjkmkfwl4d","","<p style=""font-size: 32px;"">dog</p>","null","upbeat_instrumental","word","dog","","","","","","","","","","","","",""
"","null","html-keyboard-response","56","2.0.0","184566","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","185569","pcjkmkfwl4d","","<p style=""font-size: 32px;"">sun</p>","null","upbeat_instrumental","word","sun","","","","","","","","","","","","",""
"","null","html-keyboard-response","58","2.0.0","186077","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","59","2.0.0","187084","pcjkmkfwl4d","","<p style=""font-size: 32px;"">chair</p>","null","upbeat_instrumental","word","chair","","","","","","","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","187590","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","61","2.0.0","188593","pcjkmkfwl4d","","<p style=""font-size: 32px;"">pencil</p>","null","upbeat_instrumental","word","pencil","","","","","","","","","","","","",""
"","null","html-keyboard-response","62","2.0.0","189100","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","63","2.0.0","190107","pcjkmkfwl4d","","<p style=""font-size: 32px;"">river</p>","null","upbeat_instrumental","word","river","","","","","","","","","","","","",""
"","null","html-keyboard-response","64","2.0.0","190617","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","65","2.0.0","191621","pcjkmkfwl4d","","<p style=""font-size: 32px;"">moon</p>","null","upbeat_instrumental","word","moon","","","","","","","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","192130","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","67","2.0.0","193137","pcjkmkfwl4d","","<p style=""font-size: 32px;"">house</p>","null","upbeat_instrumental","word","house","","","","","","","","","","","","",""
"","null","html-keyboard-response","68","2.0.0","193646","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","194651","pcjkmkfwl4d","","<p style=""font-size: 32px;"">flower</p>","null","upbeat_instrumental","word","flower","","","","","","","","","","","","",""
"","null","html-keyboard-response","70","2.0.0","195159","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","71","2.0.0","196174","pcjkmkfwl4d","","<p style=""font-size: 32px;"">bridge</p>","null","upbeat_instrumental","word","bridge","","","","","","","","","","","","",""
"","null","html-keyboard-response","72","2.0.0","196682","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","73","2.0.0","197683","pcjkmkfwl4d","","<p style=""font-size: 32px;"">stone</p>","null","upbeat_instrumental","word","stone","","","","","","","","","","","","",""
"","null","html-keyboard-response","74","2.0.0","198191","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","75","2.0.0","199196","pcjkmkfwl4d","","<p style=""font-size: 32px;"">forest</p>","null","upbeat_instrumental","word","forest","","","","","","","","","","","","",""
"","null","html-keyboard-response","76","2.0.0","199704","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","77","2.0.0","200710","pcjkmkfwl4d","","<p style=""font-size: 32px;"">cloud</p>","null","upbeat_instrumental","word","cloud","","","","","","","","","","","","",""
"","null","html-keyboard-response","78","2.0.0","201223","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","79","2.0.0","202229","pcjkmkfwl4d","","<p style=""font-size: 32px;"">pathway</p>","null","upbeat_instrumental","word","pathway","","","","","","","","","","","","",""
"","5287","html-button-response","80","2.1.0","207517","pcjkmkfwl4d","","<p style=""font-size: 36px;"">30 ÷ 6 = ?</p>","0","math_distractor_upbeat_instrumental","","","0","30 ÷ 6 = ?","true","","","","","","","","","",""
"","3989","html-button-response","81","2.1.0","211506","pcjkmkfwl4d","","<p style=""font-size: 36px;"">8 × 6 = ?</p>","1","math_distractor_upbeat_instrumental","","","1","8 × 6 = ?","true","","","","","","","","","",""
"","2468","html-button-response","82","2.1.0","213975","pcjkmkfwl4d","","<p style=""font-size: 36px;"">27 - 13 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","27 - 13 = ?","true","","","","","","","","","",""
"","1667","html-button-response","83","2.1.0","215644","pcjkmkfwl4d","","<p style=""font-size: 36px;"">99 ÷ 11 = ?</p>","0","math_distractor_upbeat_instrumental","","","0","99 ÷ 11 = ?","true","","","","","","","","","",""
"","1600","html-button-response","84","2.1.0","217244","pcjkmkfwl4d","","<p style=""font-size: 36px;"">7 × 7 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","7 × 7 = ?","true","","","","","","","","","",""
"","2689","html-button-response","85","2.1.0","219935","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","2","ooo_distractor_upbeat_instrumental","","","","","true","[""football"",""baseball"",""mushroom"",""basketball""]","mushroom","","","","","","","",""
"","3075","html-button-response","86","2.1.0","223011","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","3","ooo_distractor_upbeat_instrumental","","","","","true","[""sunflower"",""plant"",""tree"",""raccoon""]","raccoon","","","","","","","",""
"","5243","html-button-response","87","2.1.0","228255","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","2","ooo_distractor_upbeat_instrumental","","","","","true","[""rocket"",""helicopter"",""canoe"",""airplane""]","canoe","","","","","","","",""
"","4088","html-button-response","88","2.1.0","232343","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","2","ooo_distractor_upbeat_instrumental","","","","","false","[""scooter"",""skates"",""controller"",""skateboard""]","controller","","","","","","","",""
"","1969","html-button-response","89","2.1.0","234314","pcjkmkfwl4d","","<p>Which image is the odd one out?</p>","3","ooo_distractor_upbeat_instrumental","","","","","true","[""taxi"",""truck"",""police"",""bike""]","bike","","","","","","","",""
"","15671","survey","90","2.1.0","249999","pcjkmkfwl4d","","","{""selected_answers"":[""house"",""pencil"",""chair"",""flower"",""sun"",""apple""]}","recall_upbeat_instrumental","","","","","","","","[""house"",""flower"",""table"",""pencil"",""moon"",""chair"",""pathway"",""bridge"",""apple"",""sun""]","[""pendulum"",""accordion"",""snowflake"",""candlewick"",""hourglass""]","[""house"",""pencil"",""chair"",""flower"",""sun"",""apple""]","[]","0","[""table"",""moon"",""pathway"",""bridge""]","0.4","0.6"
"","1684","html-button-response","91","2.1.0","251684","pcjkmkfwl4d","","
                    <p><strong>You've finished the second trial.</strong></p>
                    <p>Take a moment to reset your mind. 🧠</p>
                    <p>Press <em>Continue</em> when you’re ready to start the next trial.</p>
                ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","92","2.0.0","261687","pcjkmkfwl4d","","<p>Starting trial with chill instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","93","2.0.0","262188","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","94","2.0.0","263197","pcjkmkfwl4d","","<p style=""font-size: 32px;"">tree</p>","null","instrumental","word","tree","","","","","","","","","","","","",""
"","null","html-keyboard-response","95","2.0.0","263707","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","96","2.0.0","264709","pcjkmkfwl4d","","<p style=""font-size: 32px;"">window</p>","null","instrumental","word","window","","","","","","","","","","","","",""
"","null","html-keyboard-response","97","2.0.0","265220","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","98","2.0.0","266225","pcjkmkfwl4d","","<p style=""font-size: 32px;"">hill</p>","null","instrumental","word","hill","","","","","","","","","","","","",""
"","null","html-keyboard-response","99","2.0.0","266737","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","100","2.0.0","267740","pcjkmkfwl4d","","<p style=""font-size: 32px;"">star</p>","null","instrumental","word","star","","","","","","","","","","","","",""
"","null","html-keyboard-response","101","2.0.0","268242","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","102","2.0.0","269251","pcjkmkfwl4d","","<p style=""font-size: 32px;"">computer</p>","null","instrumental","word","computer","","","","","","","","","","","","",""
"","null","html-keyboard-response","103","2.0.0","269762","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","104","2.0.0","270774","pcjkmkfwl4d","","<p style=""font-size: 32px;"">train</p>","null","instrumental","word","train","","","","","","","","","","","","",""
"","null","html-keyboard-response","105","2.0.0","271284","pcjkmkfwl4d","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","106","2.0.0","272293","pcjkmkfwl4d","","<p style=""font-size: 32px;"">guitar</p>","null","instrumental","word","guitar","","","","","","","","","","","","",""
