"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"true","2590","fullscreen","0","null","3615","ps70rke1e0r","","","","","","","","",""
"","3176","external-html","1","2.1.0","7025","ps70rke1e0r","consent.html","","","","","","","",""
"","6359","html-button-response","2","2.1.0","13396","ps70rke1e0r","","
              <h2>Welcome to our study!</h2>
              <p><strong>Please read the following instructions:</strong></p>
              <p> In this study, you will complete a baseline evaluation about yourself and your music habits, genre preferences, study routines, and motivation levels.</p>
              <p>Next, you will be shown a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible.</p>
              <p>You will then be asked to identify the words you saw to assess your retention.</p>
              <p>Afterward, you will be asked to repeat the process under different audio conditions.</p>
              <p>Stay focused and do your best!","0","","","","","",""
"","51917","survey","3","2.1.0","65390","ps70rke1e0r","","","{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Lo-fi / Chillhop"",""other""],""baseline-music-type-Comment"":""Christian Worship Music"",""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home"",""Coffee shop""],""baseline-study-motivation"":5}","","","","","",""
"","null","html-keyboard-response","4","2.0.0","68393","ps70rke1e0r","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","",""
"","7542","html-button-response","5","2.1.0","75978","ps70rke1e0r","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","",""
"","null","html-keyboard-response","6","2.0.0","80998","ps70rke1e0r","","<p>Starting trial with vocal music.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","7","2.0.0","81501","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","8","2.0.0","82505","ps70rke1e0r","","<p style=""font-size: 32px;"">phone</p>","null","vocal","word","phone","","",""
"","null","html-keyboard-response","9","2.0.0","83009","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","10","2.0.0","84013","ps70rke1e0r","","<p style=""font-size: 32px;"">candle</p>","null","vocal","word","candle","","",""
"","null","html-keyboard-response","11","2.0.0","84516","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","12","2.0.0","85519","ps70rke1e0r","","<p style=""font-size: 32px;"">ocean</p>","null","vocal","word","ocean","","",""
"","null","html-keyboard-response","13","2.0.0","86023","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","14","2.0.0","87026","ps70rke1e0r","","<p style=""font-size: 32px;"">guitar</p>","null","vocal","word","guitar","","",""
"","null","html-keyboard-response","15","2.0.0","87529","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","vocal","fixation","","","",""
"","null","html-keyboard-response","16","2.0.0","88533","ps70rke1e0r","","<p style=""font-size: 32px;"">mouse</p>","null","vocal","word","mouse","","",""
