"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","2796","fullscreen","0","null","3817","pva7eu86rbk","","","","","","","","","","","","","","","","","","",""
"","4978","external-html","1","2.1.0","9208","pva7eu86rbk","consent.html","","","","","","","","","","","","","","","","","",""
"","1805","html-button-response","2","2.1.0","11023","pva7eu86rbk","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","69445","survey","3","2.1.0","80540","pva7eu86rbk","","","{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Ambient / New Age"",""Pop""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Coffee shop"",""Library"",""Home""],""baseline-study-motivation"":4}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","83543","pva7eu86rbk","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","4958","html-button-response","5","2.1.0","88539","pva7eu86rbk","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","98557","pva7eu86rbk","","<p>Starting trial with lyrical music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","99062","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","100064","pva7eu86rbk","","<p style=""font-size: 32px;"">phone</p>","null","lyrical","word","phone","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","100568","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","101571","pva7eu86rbk","","<p style=""font-size: 32px;"">candle</p>","null","lyrical","word","candle","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","102074","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","103077","pva7eu86rbk","","<p style=""font-size: 32px;"">ocean</p>","null","lyrical","word","ocean","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","103580","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","104583","pva7eu86rbk","","<p style=""font-size: 32px;"">piano</p>","null","lyrical","word","piano","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","105086","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","106089","pva7eu86rbk","","<p style=""font-size: 32px;"">mouse</p>","null","lyrical","word","mouse","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","106592","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","107595","pva7eu86rbk","","<p style=""font-size: 32px;"">book</p>","null","lyrical","word","book","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","108097","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","109100","pva7eu86rbk","","<p style=""font-size: 32px;"">lamp</p>","null","lyrical","word","lamp","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","109603","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","110606","pva7eu86rbk","","<p style=""font-size: 32px;"">valley</p>","null","lyrical","word","valley","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","111109","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","112112","pva7eu86rbk","","<p style=""font-size: 32px;"">mountain</p>","null","lyrical","word","mountain","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","112615","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","113618","pva7eu86rbk","","<p style=""font-size: 32px;"">car</p>","null","lyrical","word","car","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","114120","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","115123","pva7eu86rbk","","<p style=""font-size: 32px;"">mirror</p>","null","lyrical","word","mirror","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","115626","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","116629","pva7eu86rbk","","<p style=""font-size: 32px;"">radio</p>","null","lyrical","word","radio","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","117132","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","32","2.0.0","118134","pva7eu86rbk","","<p style=""font-size: 32px;"">harbor</p>","null","lyrical","word","harbor","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","118637","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","34","2.0.0","119640","pva7eu86rbk","","<p style=""font-size: 32px;"">road</p>","null","lyrical","word","road","","","","","","","","","","","","",""
"","null","html-keyboard-response","35","2.0.0","120143","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","121146","pva7eu86rbk","","<p style=""font-size: 32px;"">journal</p>","null","lyrical","word","journal","","","","","","","","","","","","",""
"","5042","html-button-response","37","2.1.0","126191","pva7eu86rbk","","<p style=""font-size: 36px;"">30 ÷ 6 = ?</p>","0","math_distractor_lyrical","","","0","30 ÷ 6 = ?","true","","","","","","","","","",""
"","11350","html-button-response","38","2.1.0","137543","pva7eu86rbk","","<p style=""font-size: 36px;"">45 ÷ 5 = ?</p>","3","math_distractor_lyrical","","","2","45 ÷ 5 = ?","false","","","","","","","","","",""
"","7708","html-button-response","39","2.1.0","145253","pva7eu86rbk","","<p style=""font-size: 36px;"">14 + 9 = ?</p>","2","math_distractor_lyrical","","","1","14 + 9 = ?","false","","","","","","","","","",""
"","2760","html-button-response","40","2.1.0","148015","pva7eu86rbk","","<p style=""font-size: 36px;"">50 ÷ 10 = ?</p>","3","math_distractor_lyrical","","","3","50 ÷ 10 = ?","true","","","","","","","","","",""
"","2148","html-button-response","41","2.1.0","150166","pva7eu86rbk","","<p style=""font-size: 36px;"">81 ÷ 9 = ?</p>","1","math_distractor_lyrical","","","1","81 ÷ 9 = ?","true","","","","","","","","","",""
"","5482","html-button-response","42","2.1.0","155653","pva7eu86rbk","","<p>Which image is the odd one out?</p>","2","ooo_distractor_lyrical","","","","","true","[""hamster"",""dog"",""maracas"",""cat""]","maracas","","","","","","","",""
"","6771","html-button-response","43","2.1.0","162429","pva7eu86rbk","","<p>Which image is the odd one out?</p>","2","ooo_distractor_lyrical","","","","","true","[""thread"",""yarn"",""palette"",""needle""]","palette","","","","","","","",""
"","3222","html-button-response","44","2.1.0","165652","pva7eu86rbk","","<p>Which image is the odd one out?</p>","3","ooo_distractor_lyrical","","","","","true","[""mouth"",""eyes"",""ear"",""shirt""]","shirt","","","","","","","",""
"","3855","html-button-response","45","2.1.0","169514","pva7eu86rbk","","<p>Which image is the odd one out?</p>","2","ooo_distractor_lyrical","","","","","true","[""butterfly"",""ladybug"",""turtle"",""bee""]","turtle","","","","","","","",""
"","2401","html-button-response","46","2.1.0","171917","pva7eu86rbk","","<p>Which image is the odd one out?</p>","1","ooo_distractor_lyrical","","","","","true","[""sunflower"",""raccoon"",""plant"",""tree""]","raccoon","","","","","","","",""
"","21604","survey","47","2.1.0","193549","pva7eu86rbk","","","{""selected_answers"":[""radio"",""piano"",""pillow"",""journal""]}","recall_lyrical","","","","","","","","[""piano"",""valley"",""journal"",""car"",""radio"",""lamp"",""harbor"",""mirror"",""book"",""mountain""]","[""pillow"",""helmet"",""glasses"",""remote"",""flashlight""]","[""radio"",""piano"",""journal""]","[""pillow""]","0.25","[""valley"",""car"",""lamp"",""harbor"",""mirror"",""book"",""mountain""]","0.7","0.2727272727272727"
"","2784","html-button-response","48","2.1.0","196336","pva7eu86rbk","","
                    <p><strong>You've finished the first trial.</strong></p>
                    <p>Take a moment to reset your mind. 🧠</p>
                    <p>Press <em>Continue</em> when you’re ready to start the next trial.</p>
                ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","49","2.0.0","206341","pva7eu86rbk","","<p>Starting trial with upbeat instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","50","2.0.0","206845","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","207847","pva7eu86rbk","","<p style=""font-size: 32px;"">apple</p>","null","upbeat_instrumental","word","apple","","","","","","","","","","","","",""
"","null","html-keyboard-response","52","2.0.0","208350","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","53","2.0.0","209353","pva7eu86rbk","","<p style=""font-size: 32px;"">table</p>","null","upbeat_instrumental","word","table","","","","","","","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","209856","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","55","2.0.0","210859","pva7eu86rbk","","<p style=""font-size: 32px;"">dog</p>","null","upbeat_instrumental","word","dog","","","","","","","","","","","","",""
"","null","html-keyboard-response","56","2.0.0","211361","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","212363","pva7eu86rbk","","<p style=""font-size: 32px;"">sun</p>","null","upbeat_instrumental","word","sun","","","","","","","","","","","","",""
"","null","html-keyboard-response","58","2.0.0","212866","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","59","2.0.0","213869","pva7eu86rbk","","<p style=""font-size: 32px;"">chair</p>","null","upbeat_instrumental","word","chair","","","","","","","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","214372","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","61","2.0.0","215374","pva7eu86rbk","","<p style=""font-size: 32px;"">pencil</p>","null","upbeat_instrumental","word","pencil","","","","","","","","","","","","",""
"","null","html-keyboard-response","62","2.0.0","215877","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","63","2.0.0","216879","pva7eu86rbk","","<p style=""font-size: 32px;"">river</p>","null","upbeat_instrumental","word","river","","","","","","","","","","","","",""
"","null","html-keyboard-response","64","2.0.0","217382","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","65","2.0.0","218384","pva7eu86rbk","","<p style=""font-size: 32px;"">moon</p>","null","upbeat_instrumental","word","moon","","","","","","","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","218887","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","67","2.0.0","219890","pva7eu86rbk","","<p style=""font-size: 32px;"">house</p>","null","upbeat_instrumental","word","house","","","","","","","","","","","","",""
"","null","html-keyboard-response","68","2.0.0","220392","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","221395","pva7eu86rbk","","<p style=""font-size: 32px;"">flower</p>","null","upbeat_instrumental","word","flower","","","","","","","","","","","","",""
"","null","html-keyboard-response","70","2.0.0","221898","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","71","2.0.0","222901","pva7eu86rbk","","<p style=""font-size: 32px;"">bridge</p>","null","upbeat_instrumental","word","bridge","","","","","","","","","","","","",""
"","null","html-keyboard-response","72","2.0.0","223404","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","73","2.0.0","224407","pva7eu86rbk","","<p style=""font-size: 32px;"">stone</p>","null","upbeat_instrumental","word","stone","","","","","","","","","","","","",""
"","null","html-keyboard-response","74","2.0.0","224910","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","75","2.0.0","225912","pva7eu86rbk","","<p style=""font-size: 32px;"">forest</p>","null","upbeat_instrumental","word","forest","","","","","","","","","","","","",""
"","null","html-keyboard-response","76","2.0.0","226414","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","77","2.0.0","227417","pva7eu86rbk","","<p style=""font-size: 32px;"">cloud</p>","null","upbeat_instrumental","word","cloud","","","","","","","","","","","","",""
"","null","html-keyboard-response","78","2.0.0","227919","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","79","2.0.0","228921","pva7eu86rbk","","<p style=""font-size: 32px;"">pathway</p>","null","upbeat_instrumental","word","pathway","","","","","","","","","","","","",""
"","1926","html-button-response","80","2.1.0","230850","pva7eu86rbk","","<p style=""font-size: 36px;"">7 × 7 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","7 × 7 = ?","true","","","","","","","","","",""
"","7683","html-button-response","81","2.1.0","238535","pva7eu86rbk","","<p style=""font-size: 36px;"">16 + 12 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","16 + 12 = ?","true","","","","","","","","","",""
"","3870","html-button-response","82","2.1.0","242407","pva7eu86rbk","","<p style=""font-size: 36px;"">8 × 3 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","8 × 3 = ?","true","","","","","","","","","",""
"","7511","html-button-response","83","2.1.0","249920","pva7eu86rbk","","<p style=""font-size: 36px;"">99 ÷ 11 = ?</p>","0","math_distractor_upbeat_instrumental","","","0","99 ÷ 11 = ?","true","","","","","","","","","",""
"","5816","html-button-response","84","2.1.0","255738","pva7eu86rbk","","<p style=""font-size: 36px;"">8 × 6 = ?</p>","2","math_distractor_upbeat_instrumental","","","1","8 × 6 = ?","false","","","","","","","","","",""
"","2814","html-button-response","85","2.1.0","258557","pva7eu86rbk","","<p>Which image is the odd one out?</p>","0","ooo_distractor_upbeat_instrumental","","","","","true","[""chick"",""cupcake"",""icecream"",""cake""]","chick","","","","","","","",""
"","1669","html-button-response","86","2.1.0","260227","pva7eu86rbk","","<p>Which image is the odd one out?</p>","3","ooo_distractor_upbeat_instrumental","","","","","true","[""truck"",""taxi"",""police"",""bike""]","bike","","","","","","","",""
"","5236","html-button-response","87","2.1.0","265467","pva7eu86rbk","","<p>Which image is the odd one out?</p>","3","ooo_distractor_upbeat_instrumental","","","","","true","[""rocket"",""helicopter"",""airplane"",""canoe""]","canoe","","","","","","","",""
"","4954","html-button-response","88","2.1.0","270424","pva7eu86rbk","","<p>Which image is the odd one out?</p>","0","ooo_distractor_upbeat_instrumental","","","","","true","[""flashlight"",""violin"",""guitar"",""flute""]","flashlight","","","","","","","",""
"","6072","html-button-response","89","2.1.0","276500","pva7eu86rbk","","<p>Which image is the odd one out?</p>","0","ooo_distractor_upbeat_instrumental","","","","","true","[""glasses"",""tophat"",""cap"",""crown""]","glasses","","","","","","","",""
"","15673","survey","90","2.1.0","292196","pva7eu86rbk","","","{""selected_answers"":[""sun"",""lighthouse""]}","recall_upbeat_instrumental","","","","","","","","[""chair"",""river"",""moon"",""pencil"",""pathway"",""dog"",""bridge"",""sun"",""house"",""forest""]","[""sketchpad"",""accordion"",""snowflake"",""lighthouse"",""doormat""]","[""sun""]","[""lighthouse""]","0.5","[""chair"",""river"",""moon"",""pencil"",""pathway"",""dog"",""bridge"",""house"",""forest""]","0.9","0.09090909090909091"
"","2470","html-button-response","91","2.1.0","294669","pva7eu86rbk","","
                    <p><strong>You've finished the second trial.</strong></p>
                    <p>Take a moment to reset your mind. 🧠</p>
                    <p>Press <em>Continue</em> when you’re ready to start the next trial.</p>
                ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","92","2.0.0","304673","pva7eu86rbk","","<p>Starting trial with silence.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","93","2.0.0","305176","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","94","2.0.0","306179","pva7eu86rbk","","<p style=""font-size: 32px;"">basket</p>","null","silence","word","basket","","","","","","","","","","","","",""
"","null","html-keyboard-response","95","2.0.0","306682","pva7eu86rbk","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
