"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","6310","fullscreen","0","null","7324","pqclbv2h2ck","","","","","","","","","","","","","","","","","","",""
"","344901","external-html","1","2.1.0","352420","pqclbv2h2ck","consent.html","","","","","","","","","","","","","","","","","",""
"","149681","html-button-response","2","2.1.0","502109","pqclbv2h2ck","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","51576","survey","3","2.1.0","553737","pqclbv2h2ck","","","{""baseline-age"":20,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""Electronic / EDM""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":1}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","556740","pqclbv2h2ck","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","19861","html-button-response","5","2.1.0","576610","pqclbv2h2ck","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","586613","pqclbv2h2ck","","<p>Starting trial with lyrical music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","587118","pqclbv2h2ck","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","588122","pqclbv2h2ck","","<p style=""font-size: 32px;"">phone</p>","null","lyrical","word","phone","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","588625","pqclbv2h2ck","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","589629","pqclbv2h2ck","","<p style=""font-size: 32px;"">candle</p>","null","lyrical","word","candle","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","590133","pqclbv2h2ck","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","591135","pqclbv2h2ck","","<p style=""font-size: 32px;"">ocean</p>","null","lyrical","word","ocean","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","591638","pqclbv2h2ck","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","592640","pqclbv2h2ck","","<p style=""font-size: 32px;"">piano</p>","null","lyrical","word","piano","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","593143","pqclbv2h2ck","","<p style=""font-size: 40px;"">+</p>","null","lyrical","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","594146","pqclbv2h2ck","","<p style=""font-size: 32px;"">mouse</p>","null","lyrical","word","mouse","","","","","","","","","","","","",""
