"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","2327","fullscreen","0","null","3345","ptn21ywmnxy","","","","","","","","","","","","","","","","","","",""
"","3774","external-html","1","2.1.0","7938","ptn21ywmnxy","consent.html","","","","","","","","","","","","","","","","","",""
"","8544","html-button-response","2","2.1.0","16485","ptn21ywmnxy","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","44309","survey","3","2.1.0","60868","ptn21ywmnxy","","","{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Jazz"",""Rock""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Coffee shop"",""Home"",""Library""],""baseline-study-motivation"":5}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","63885","ptn21ywmnxy","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","13498","html-button-response","5","2.1.0","77391","ptn21ywmnxy","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","87403","ptn21ywmnxy","","<p>Starting trial with silence.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","87917","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","88931","ptn21ywmnxy","","<p style=""font-size: 32px;"">basket</p>","null","silence","word","basket","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","89441","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","90452","ptn21ywmnxy","","<p style=""font-size: 32px;"">tower</p>","null","silence","word","tower","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","90960","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","91972","ptn21ywmnxy","","<p style=""font-size: 32px;"">riverbank</p>","null","silence","word","riverbank","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","92474","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","93485","ptn21ywmnxy","","<p style=""font-size: 32px;"">glacier</p>","null","silence","word","glacier","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","93993","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","94998","ptn21ywmnxy","","<p style=""font-size: 32px;"">notebook</p>","null","silence","word","notebook","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","95513","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","96527","ptn21ywmnxy","","<p style=""font-size: 32px;"">planet</p>","null","silence","word","planet","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","97033","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","98040","ptn21ywmnxy","","<p style=""font-size: 32px;"">meadow</p>","null","silence","word","meadow","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","98546","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","99564","ptn21ywmnxy","","<p style=""font-size: 32px;"">statue</p>","null","silence","word","statue","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","100068","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","101080","ptn21ywmnxy","","<p style=""font-size: 32px;"">lantern</p>","null","silence","word","lantern","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","101597","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","102610","ptn21ywmnxy","","<p style=""font-size: 32px;"">avenue</p>","null","silence","word","avenue","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","103126","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","104135","ptn21ywmnxy","","<p style=""font-size: 32px;"">whistle</p>","null","silence","word","whistle","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","104651","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","105661","ptn21ywmnxy","","<p style=""font-size: 32px;"">saddle</p>","null","silence","word","saddle","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","106167","ptn21ywmnxy","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
